,popularity,price_tier,outdoors,good_for_groups,has_credit_card,good_for_kids,has_delivery,caters
247,2,2,1,1,1,1,1,1
248,1,1,0,0,1,0,1,1
249,0,3,1,0,1,0,1,0
250,2,1,1,1,1,1,1,1
251,1,2,1,1,1,1,1,1
252,1,3,1,1,1,1,0,0
253,1,2,1,1,1,1,1,1
254,0,1,0,0,1,0,1,1
255,2,2,1,1,1,1,1,1
256,0,1,1,1,1,1,1,1
257,1,2,1,1,0,1,1,1
258,1,2,1,1,1,1,1,0
259,2,1,1,1,1,1,1,1
260,0,1,1,1,1,1,1,1
261,0,1,0,0,0,0,0,0
262,1,1,0,0,1,0,1,1
263,2,2,1,1,1,0,0,0
264,1,1,1,1,0,1,1,1
265,0,2,1,1,1,1,1,1
266,1,1,1,1,1,1,1,1
267,1,2,1,1,1,1,1,1
268,2,2,1,1,1,1,1,1
269,0,2,1,1,1,1,1,1
270,2,3,1,1,1,1,1,1
271,2,2,1,1,0,1,1,1
272,2,2,1,1,1,1,1,1
273,0,1,1,1,1,1,1,1
274,2,2,1,1,1,1,1,1
275,0,2,1,1,1,1,1,1
276,0,1,1,1,1,1,1,1
277,1,2,1,1,1,1,1,1
278,0,1,1,1,1,1,1,0
279,0,4,0,0,1,0,1,0
280,0,1,1,1,0,1,1,1
281,1,2,0,0,1,0,1,1
282,1,2,1,1,1,1,1,1
283,1,2,0,0,1,0,1,0
284,2,2,1,1,1,1,1,1
285,2,2,1,1,1,1,1,0
286,2,2,1,1,1,1,1,0
287,1,2,0,0,1,0,1,1
288,0,1,1,1,1,1,1,1
289,0,1,1,1,1,1,1,1
290,0,1,1,1,1,1,1,0
291,2,1,1,1,1,1,1,1
292,0,2,1,1,1,1,1,1
293,1,2,1,1,1,1,1,1
294,0,1,1,1,1,1,1,1
295,2,2,1,1,1,1,1,1
296,2,1,1,1,1,1,1,1
297,2,3,1,1,1,1,1,1
298,2,3,1,1,1,1,1,1
299,0,1,1,1,1,1,1,1
300,2,2,1,1,1,1,1,1
301,2,1,1,1,1,1,1,1
302,1,2,1,1,1,1,1,1
303,2,1,1,1,1,1,1,1
304,2,2,1,1,1,1,1,1
305,2,2,1,1,1,1,1,1
306,1,2,0,0,1,0,0,1
307,0,2,0,0,1,0,0,1
308,1,1,1,1,1,1,1,1
309,1,2,1,1,1,1,1,0
310,0,1,1,1,1,1,1,1
311,1,2,0,0,0,0,1,1
312,1,2,1,1,1,1,1,1
313,1,1,1,1,1,1,1,1
314,2,2,1,1,1,1,1,1
315,0,2,1,1,1,1,1,1
316,1,2,1,1,0,1,1,1
317,2,2,1,1,1,1,1,1
318,1,2,1,1,1,1,1,0
319,2,2,0,0,1,1,1,1
320,0,1,1,1,1,1,1,1
321,1,1,1,1,1,1,1,1
322,1,2,1,1,1,1,1,0
323,2,2,1,1,1,1,1,1
324,2,2,1,1,1,1,1,0
325,1,1,1,1,0,1,1,1
326,0,1,1,1,1,1,1,1
327,2,3,1,1,1,1,1,1
328,0,2,1,1,1,1,1,1
329,2,2,1,1,1,1,1,1
330,0,1,1,1,1,1,1,1
331,2,1,1,1,1,1,1,1
332,2,2,1,1,1,1,1,1
333,2,2,1,1,1,1,1,1
334,2,2,1,1,1,1,1,1
335,1,1,0,0,1,0,1,0
336,0,2,1,1,1,1,1,1
337,2,2,1,1,1,1,1,1
338,2,2,1,1,1,1,1,1
339,1,2,1,1,1,1,1,1
340,2,2,1,1,1,1,1,1
341,1,1,1,1,1,1,1,1
342,0,1,1,0,0,0,0,1
343,0,1,1,1,1,1,1,1
344,0,2,0,0,1,0,0,1
345,1,2,1,1,1,1,1,1
346,2,2,1,1,1,0,1,1
347,0,1,0,1,1,1,1,0
348,0,2,1,1,1,1,1,1
349,0,2,1,1,1,1,1,1
350,0,2,1,0,1,0,1,1
351,1,2,1,1,1,1,1,1
352,1,1,1,1,1,1,1,1
353,0,1,1,1,1,1,1,1
354,0,2,1,1,1,1,1,1
355,0,2,1,1,1,1,1,1
356,1,1,0,0,1,1,1,1
357,2,2,1,1,1,1,1,1
358,0,1,1,1,1,1,1,1
359,2,2,1,1,1,1,1,0
360,0,2,1,1,1,1,1,1
361,1,1,0,0,1,0,1,1
362,0,1,1,1,1,1,1,1
363,0,2,0,0,1,0,1,0
364,1,2,1,1,1,1,1,1
365,1,2,0,0,1,0,0,1
366,2,2,0,0,1,0,1,0
367,1,1,0,0,0,0,0,0
368,1,2,1,1,1,1,1,1
369,2,2,0,0,1,0,1,1
370,0,1,0,0,0,0,0,0
371,1,1,1,1,1,1,1,1
372,2,2,1,1,1,1,1,1
373,1,1,1,1,1,1,1,1
374,1,1,0,0,1,0,0,1
375,1,1,1,1,1,1,1,1
376,1,1,1,1,1,1,1,1
377,2,2,1,1,1,1,1,1
378,0,1,1,1,1,1,1,1
379,2,2,1,1,1,1,1,1
380,2,2,1,1,1,1,1,1
381,1,2,1,1,1,1,1,1
382,0,2,1,1,1,1,1,0
383,0,1,1,1,1,1,1,1
384,1,1,1,1,0,1,1,1
385,1,2,1,1,1,1,1,1
386,0,1,1,1,1,1,1,1
387,2,2,1,1,1,1,1,1
388,1,1,1,1,1,1,1,1
389,1,2,1,1,1,1,1,1
390,2,1,1,1,1,1,1,1
391,1,1,1,1,1,1,1,1
392,2,2,1,1,0,1,1,1
393,2,3,1,1,1,1,1,0
394,0,1,0,0,1,0,1,0
395,1,2,1,1,1,1,1,1
396,1,1,1,1,1,1,1,1
397,1,2,1,1,1,1,1,1
398,0,1,1,1,1,1,1,1
399,1,1,1,1,1,1,1,1
400,0,1,1,1,1,1,1,0
401,1,1,1,1,1,1,1,1
402,1,2,1,1,0,1,1,1
403,2,1,1,1,1,1,1,1
404,2,2,1,1,1,1,1,1
405,2,1,1,1,1,1,1,1
406,2,2,1,1,1,1,1,1
407,0,1,1,0,1,0,1,1
408,1,2,1,1,1,1,1,0
409,1,1,0,0,1,0,0,1
410,1,2,0,0,1,0,0,1
411,1,1,1,1,0,1,1,1
412,1,1,1,1,1,1,1,1
413,1,2,1,1,1,1,1,1
414,0,1,1,1,1,1,1,1
415,2,2,1,1,1,1,1,1
416,0,2,1,1,1,1,1,1
417,2,2,0,0,1,0,1,1
418,0,1,1,1,1,1,1,1
419,1,2,1,1,0,1,1,1
420,0,2,0,0,1,0,1,1
421,2,2,1,1,1,1,1,1
422,0,2,1,1,1,1,1,1
423,1,2,1,1,0,1,1,1
424,2,2,1,1,1,1,1,1
425,0,1,1,0,1,0,1,0
426,2,1,1,1,1,1,1,1
427,0,4,1,1,1,1,1,1
428,0,2,0,0,1,0,0,0
429,1,2,1,1,1,1,1,1
430,0,1,1,1,1,1,1,1
431,2,2,1,1,1,1,1,1
432,1,2,1,1,1,1,1,1
433,1,2,1,1,1,1,1,1
434,1,1,1,1,1,1,1,1
435,2,1,1,1,1,1,1,1
436,0,2,0,0,1,0,1,1
437,2,2,1,1,1,1,1,1
438,2,2,1,1,1,1,1,0
439,2,2,0,1,1,0,1,0
440,1,2,0,0,1,0,1,1
441,0,1,1,1,1,1,1,1
442,1,2,0,0,1,0,1,1
443,0,2,1,1,1,1,1,0
444,2,1,1,1,1,1,1,1
445,0,1,1,1,1,1,1,0
446,0,1,1,1,1,1,1,0
447,2,2,1,1,1,1,1,1
448,2,3,1,1,1,1,1,1
449,1,1,1,1,1,1,0,1
450,1,2,0,0,1,0,1,1
451,1,1,1,1,1,1,1,1
452,0,2,1,1,1,1,1,1
453,0,2,0,0,0,0,0,0
454,2,2,1,0,1,0,1,0
455,1,1,1,1,1,1,1,0
456,2,2,1,1,1,1,1,1
457,1,2,0,0,1,0,1,1
458,0,2,1,1,1,1,1,1
459,2,2,0,0,0,0,0,0
460,2,2,1,1,1,1,1,1
461,2,1,1,1,0,1,1,1
462,0,2,1,1,1,1,1,0
463,1,1,1,1,1,1,1,1
464,0,1,1,1,1,1,1,1
465,2,1,1,1,1,1,1,1
466,2,2,1,1,0,1,1,1
467,2,2,1,1,1,1,1,1
468,2,2,1,1,1,1,1,1
469,2,2,1,1,1,1,1,1
470,1,2,1,1,1,1,1,1
471,1,1,1,1,1,1,1,1
472,2,2,1,1,1,1,1,1
473,0,1,1,1,1,1,1,0
474,0,2,1,1,0,1,1,1
475,0,1,1,1,1,1,1,1
476,0,2,1,1,0,1,1,0
477,1,2,1,1,1,1,1,0
478,2,2,1,1,1,1,1,1
479,1,2,1,1,1,1,1,1
480,1,1,1,1,1,1,1,1
481,1,2,1,1,1,1,1,1
482,1,2,0,0,1,0,1,1
483,2,2,1,1,1,1,1,1
484,1,2,1,1,1,1,1,1
485,1,2,0,0,1,0,0,1
486,2,4,1,1,1,1,1,1
487,1,2,1,1,1,1,1,1
488,0,2,0,0,1,0,0,0
489,1,2,1,1,1,1,1,1
490,1,1,1,1,1,1,1,1
491,0,2,0,0,0,0,0,0
492,0,1,1,1,1,1,1,1
493,2,1,1,1,1,0,1,1
494,0,1,1,1,1,1,1,1
495,0,1,1,0,0,0,0,1
496,1,2,1,1,0,1,1,1
497,0,1,1,1,1,1,1,1
498,0,2,1,1,1,1,1,0
499,2,3,1,1,1,1,1,1
500,0,2,1,1,1,1,1,1
501,2,3,1,1,1,1,1,1
502,2,2,1,1,1,1,1,1
503,1,2,0,0,1,0,1,1
504,0,1,1,0,1,0,1,0
505,1,2,1,1,1,1,1,1
506,1,1,1,1,1,1,1,1
507,1,2,1,1,0,1,1,1
508,1,2,0,0,1,0,1,1
509,1,1,1,0,1,0,1,1
510,2,2,1,1,1,1,1,1
511,1,1,1,1,1,1,1,1
512,1,1,1,1,1,1,1,1
513,0,2,1,1,1,1,1,1
514,0,2,0,1,0,0,1,0
515,0,1,1,1,0,1,1,0
516,1,1,1,0,1,0,0,1
517,2,2,1,1,1,1,1,1
518,1,1,0,0,1,0,0,1
519,2,2,1,1,1,1,1,1
520,1,1,1,0,1,1,1,1
521,2,2,1,1,1,1,1,1
522,1,1,1,1,1,1,1,1
523,1,1,1,1,1,1,1,1
524,2,2,1,1,1,1,1,1
525,1,2,0,0,1,0,1,1
526,2,3,1,1,1,1,1,1
527,2,2,1,1,1,1,1,0
528,0,2,0,0,1,0,0,0
529,2,2,1,1,1,1,1,1
530,2,2,1,1,1,1,1,1
531,0,1,1,1,1,1,1,1
532,0,1,1,1,1,1,1,1
533,0,1,0,0,1,0,1,0
534,0,1,0,0,1,0,0,0
535,0,2,1,1,0,1,1,0
536,2,2,1,1,1,1,1,1
537,0,1,1,1,1,1,1,1
538,2,2,1,1,1,1,1,1
539,0,1,1,1,1,1,1,1
540,0,2,0,0,1,0,1,1
541,1,2,0,0,1,1,1,1
542,0,1,1,1,1,1,1,1
543,0,2,1,1,1,1,1,1
544,2,2,1,1,1,1,1,1
545,1,2,1,1,0,1,1,1
546,1,2,1,1,1,1,1,1
547,2,2,1,1,1,1,1,1
548,2,2,1,1,1,1,1,1
549,0,2,1,1,0,1,1,1
550,0,2,1,0,1,0,1,1
551,0,2,1,1,1,1,1,0
552,2,1,1,1,1,1,1,0
553,2,1,1,1,1,1,1,1
554,1,2,1,1,1,1,1,1
555,1,1,1,1,1,1,1,1
556,2,2,1,1,1,1,1,1
557,2,3,1,1,1,1,1,1
558,1,1,1,1,1,1,1,1
559,1,3,1,1,1,1,1,1
560,2,2,1,1,1,1,1,1
561,0,1,1,0,0,0,0,1
562,1,1,1,0,1,0,0,1
563,2,2,1,1,1,1,1,1
564,1,2,1,1,1,1,1,1
565,0,2,1,1,0,1,1,1
566,1,2,1,1,1,1,1,1
567,0,2,0,0,1,0,0,0
568,2,2,1,1,1,1,1,1
569,1,1,1,1,1,1,1,0
570,0,2,1,1,1,1,1,0
571,1,1,1,1,1,1,1,1
572,1,2,0,0,1,0,1,1
573,2,2,1,1,1,1,1,1
574,1,2,1,1,0,1,1,1
575,2,2,1,1,1,1,1,1
576,1,2,1,1,0,1,1,1
577,1,1,1,1,1,1,1,1
578,0,2,1,1,1,1,1,0
579,1,2,1,1,1,1,1,1
580,1,2,1,1,1,1,1,1
581,0,1,0,0,1,1,1,0
582,1,2,1,1,1,1,1,0
583,0,1,0,0,1,0,1,0
584,2,1,1,0,1,0,0,1
585,0,1,1,1,0,1,1,1
586,2,2,1,1,1,1,1,1
587,1,2,1,1,1,1,1,1
588,2,2,1,1,1,1,1,1
589,0,2,1,1,1,1,1,1
590,2,1,0,0,1,0,1,1
591,0,1,1,1,1,1,1,1
